county_cd	County Type	year	Population	Total self-supplied groundwater withdrawals, in Mgal/d	Total self-supplied surface-water withdrawals, in Mgal/d	Total self-supplied withdrawals, in Mgal/d	Total consumptive use, fresh, in Mgal/d	Total conveyance loss, in Mgal/d	 Total sprinkler irrigation, in thousand acres	Total microirrigation, in thousand acres	Total surface irrigation, in thousand acres	Total irrigation, in thousand acres	Total reclaimed wastewater, in Mgal/d	$E-Total conveyance loss, in Mgal/d
59.000	Urban	1995.000	484.870	0.380	8.070	8.450	3.840	3.160	0.390	0.000	2.030	2.420	0.700	0.305
59.000	Urban	2000.000	527.060	0.560	21.610	22.170	$null$	$null$	0.000	0.000	7.140	7.140	$null$	4.166
59.000	Urban	2005.000	526.801	0.360	33.940	34.300	$null$	$null$	2.530	0.000	4.360	6.890	$null$	8.519
59.000	Urban	2010.000	534.543	0.270	14.700	14.970	$null$	$null$	2.800	0.000	2.410	5.210	$null$	1.678
59.000	Urban	2015.000	565.524	0.190	22.080	22.270	2.890	$null$	2.380	0.000	0.930	3.310	$null$	5.025
61.000	Frontier	1985.000	1.890	7.330	0.740	8.070	3.980	0.880	2.290	$null$	1.510	3.800	0.000	0.072
61.000	Frontier	1990.000	1.690	6.330	0.030	6.360	5.960	0.410	0.770	$null$	3.740	4.510	0.000	-0.686
61.000	Frontier	1995.000	1.630	14.200	0.000	14.200	8.270	1.140	0.910	0.000	4.490	5.400	0.000	2.589
61.000	Frontier	2000.000	1.620	26.390	2.140	28.530	$null$	$null$	5.360	0.000	3.390	8.750	$null$	7.442
61.000	Frontier	2005.000	1.422	14.980	0.160	15.140	$null$	$null$	1.300	0.000	3.310	4.610	$null$	3.188
61.000	Frontier	2010.000	1.398	4.900	0.000	4.900	$null$	$null$	4.460	0.000	4.840	9.300	$null$	-3.147
61.000	Frontier	2015.000	1.423	1.710	0.000	1.710	1.630	$null$	1.860	0.000	2.990	4.850	$null$	-3.008
63.000	Frontier	1985.000	7.790	143.660	0.000	143.660	114.570	7.180	61.440	$null$	61.460	122.900	0.000	20.265
63.000	Frontier	1990.000	7.140	191.470	0.000	191.470	170.220	7.660	72.950	$null$	72.930	145.880	0.000	33.933
63.000	Frontier	1995.000	7.300	163.200	0.000	163.200	145.070	6.520	75.450	0.000	75.440	150.890	0.570	19.409
63.000	Frontier	2000.000	8.010	185.320	0.000	185.320	$null$	$null$	123.580	0.000	24.030	147.610	$null$	25.020
63.000	Frontier	2005.000	7.642	204.740	0.380	205.120	$null$	$null$	151.690	0.000	11.140	162.830	$null$	26.400
63.000	Frontier	2010.000	8.270	126.500	0.000	126.500	$null$	$null$	149.220	0.000	8.500	157.720	$null$	-7.379
63.000	Frontier	2015.000	7.758	110.880	0.000	110.880	92.940	$null$	121.000	0.000	12.690	133.690	$null$	-4.322
65.000	Rural	1985.000	6.980	0.000	3.330	3.330	1.390	1.330	0.000	$null$	4.720	4.720	0.000	-2.280
65.000	Rural	1990.000	6.010	0.000	25.100	25.100	2.790	7.740	2.860	$null$	2.860	5.720	0.000	5.325
65.000	Rural	1995.000	6.300	0.000	7.130	7.130	3.190	2.570	3.210	0.000	3.210	6.420	0.000	-1.698
65.000	Rural	2000.000	7.810	0.000	39.640	39.640	$null$	$null$	0.000	0.000	34.060	34.060	$null$	2.888
65.000	Rural	2005.000	7.738	0.030	12.590	12.620	$null$	$null$	0.020	0.000	1.800	1.820	$null$	2.068
65.000	Rural	2010.000	7.310	0.020	11.450	11.470	$null$	$null$	0.040	0.000	0.200	0.240	$null$	2.090
65.000	Rural	2015.000	7.485	0.050	13.960	14.010	1.580	$null$	0.040	0.000	2.120	2.160	$null$	2.493
67.000	Rural	1985.000	30.840	0.890	360.340	361.230	112.460	22.960	0.980	$null$	82.000	82.980	0.000	109.952
67.000	Rural	1990.000	32.280	0.580	286.350	286.930	63.250	65.890	0.710	$null$	60.440	61.150	0.000	88.274
67.000	Rural	1995.000	38.310	1.210	364.750	365.960	132.960	51.130	1.100	0.000	93.220	94.320	0.000	108.450
67.000	Rural	2000.000	43.940	0.460	210.860	211.320	$null$	$null$	6.990	0.000	33.070	40.060	$null$	65.173
67.000	Rural	2005.000	47.452	0.350	368.460	368.810	$null$	$null$	8.540	0.000	54.720	63.260	$null$	117.665
67.000	Rural	2010.000	51.334	0.120	321.030	321.150	$null$	$null$	9.660	0.000	62.840	72.500	$null$	96.855
67.000	Rural	2015.000	54.688	0.270	321.870	322.140	72.690	$null$	14.250	0.000	61.260	75.510	$null$	95.855
69.000	Rural	1985.000	170.280	62.670	229.550	292.220	143.560	93.500	7.920	$null$	98.970	106.890	0.000	80.834
69.000	Rural	1990.000	186.140	57.890	194.800	252.690	132.050	77.710	7.040	$null$	87.850	94.890	0.000	69.147
69.000	Rural	1995.000	217.220	39.910	178.420	218.330	102.040	70.390	5.580	0.000	69.610	75.190	0.000	60.724
69.000	Rural	2000.000	251.490	23.700	188.360	212.060	$null$	$null$	4.290	0.000	77.180	81.470	$null$	55.458
69.000	Rural	2005.000	271.927	0.140	419.220	419.360	$null$	$null$	2.160	0.010	83.010	85.180	$null$	131.059
69.000	Rural	2010.000	299.630	0.830	363.080	363.910	$null$	$null$	17.670	0.010	68.070	85.750	$null$	108.301
69.000	Rural	2015.000	333.577	0.150	118.980	119.130	44.750	$null$	21.520	0.010	32.610	54.140	$null$	24.662
71.000	Frontier	1985.000	14.290	5.550	140.240	145.790	61.190	56.550	1.600	$null$	28.410	30.010	0.000	44.353
71.000	Frontier	1990.000	13.770	11.600	48.610	60.210	54.200	6.020	0.000	$null$	30.600	30.600	0.000	12.526
71.000	Frontier	1995.000	14.270	1.850	110.120	111.970	52.050	39.810	0.000	0.000	27.160	27.160	0.000	32.322
71.000	Frontier	2000.000	15.210	2.280	116.160	118.440	$null$	$null$	0.000	0.000	23.370	23.370	$null$	35.897
71.000	Frontier	2005.000	15.446	0.020	62.570	62.590	$null$	$null$	0.030	0.000	24.890	24.920	$null$	14.202
71.000	Frontier	2010.000	15.507	0.010	66.890	66.900	$null$	$null$	0.380	0.000	21.470	21.850	$null$	16.681
71.000	Frontier	2015.000	14.058	0.020	21.070	21.090	18.680	$null$	0.080	0.000	21.120	21.200	$null$	-0.379
73.000	Frontier	1985.000	4.650	5.880	0.000	5.880	3.210	0.430	1.490	$null$	1.610	3.100	0.000	-0.571
73.000	Frontier	1990.000	4.530	6.820	0.120	6.940	6.210	0.530	3.240	$null$	2.090	5.330	0.000	-0.943
73.000	Frontier	1995.000	5.600	15.770	0.000	15.770	10.100	1.150	5.520	0.000	2.380	7.900	0.000	2.060
73.000	Frontier	2000.000	6.090	19.290	0.000	19.290	$null$	$null$	5.010	0.000	2.210	7.220	$null$	3.906
73.000	Frontier	2005.000	5.618	3.180	1.570	4.750	$null$	$null$	3.400	0.000	1.250	4.650	$null$	-1.863
73.000	Frontier	2010.000	5.467	2.590	0.860	3.450	$null$	$null$	3.210	0.000	1.690	4.900	$null$	-2.450
73.000	Frontier	2015.000	5.557	3.450	1.090	4.540	1.560	$null$	4.810	0.000	2.220	7.030	$null$	-2.771
75.000	Frontier	1985.000	19.820	73.330	162.660	235.990	121.380	68.730	19.160	$null$	76.660	95.820	0.000	62.389
75.000	Frontier	1990.000	17.570	89.790	184.430	274.220	149.720	76.270	20.470	$null$	81.850	102.320	0.000	76.014
75.000	Frontier	1995.000	17.870	90.540	235.490	326.030	163.020	96.250	21.690	0.000	86.750	108.440	0.000	93.702
75.000	Frontier	2000.000	20.500	52.370	253.350	305.720	$null$	$null$	31.200	0.000	87.690	118.890	$null$	79.077
75.000	Frontier	2005.000	20.719	0.700	279.960	280.660	$null$	$null$	29.800	0.000	73.950	103.750	$null$	70.298
75.000	Frontier	2010.000	22.709	53.370	104.390	157.760	$null$	$null$	68.360	0.000	44.020	112.380	$null$	21.092
75.000	Frontier	2015.000	22.036	59.280	83.840	143.120	116.990	$null$	82.310	0.000	20.220	102.530	$null$	17.326
77.000	Rural	1985.000	88.580	4.130	1300.500	1304.630	257.990	284.490	3.840	$null$	111.240	115.080	0.000	456.472
77.000	Rural	1990.000	93.150	3.650	911.510	915.160	203.630	270.570	3.050	$null$	88.240	91.290	0.000	316.501
77.000	Rural	1995.000	106.550	3.110	939.940	943.050	174.160	284.570	3.440	0.000	99.260	102.700	0.000	323.622
77.000	Rural	2000.000	116.260	4.140	1117.360	1121.500	$null$	$null$	0.000	0.000	89.720	89.720	$null$	395.181
77.000	Rural	2005.000	129.872	0.220	891.560	891.780	$null$	$null$	0.890	0.000	85.010	85.900	$null$	309.230
77.000	Rural	2010.000	146.723	0.260	742.100	742.360	$null$	$null$	9.410	0.000	72.850	82.260	$null$	252.971
77.000	Rural	2015.000	148.513	0.030	756.930	756.960	107.580	$null$	10.780	0.010	76.460	87.250	$null$	256.861
79.000	Frontier	1985.000	0.800	0.000	2.240	2.240	0.800	0.510	0.160	$null$	1.400	1.560	0.000	-1.790
79.000	Frontier	1990.000	0.560	0.000	4.510	4.510	2.690	0.840	0.030	$null$	1.990	2.020	0.000	-1.053
79.000	Frontier	1995.000	0.630	0.000	1.920	1.920	0.720	0.270	0.100	0.000	0.890	0.990	0.000	-1.739
79.000	Frontier	2000.000	0.830	0.000	0.000	0.000	$null$	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
79.000	Frontier	2005.000	0.932	0.000	14.330	14.330	$null$	$null$	0.000	0.000	2.060	2.060	$null$	2.643
79.000	Frontier	2010.000	0.712	0.000	15.610	15.610	$null$	$null$	0.020	0.000	1.510	1.530	$null$	3.278
79.000	Frontier	2015.000	0.726	0.160	6.860	7.020	3.210	$null$	0.050	0.000	1.410	1.460	$null$	0.066
81.000	Rural	1985.000	12.610	0.630	212.480	213.110	36.740	39.510	2.070	$null$	27.490	29.560	0.000	69.461
81.000	Rural	1990.000	11.360	0.850	229.830	230.680	51.820	52.620	2.890	$null$	38.410	41.300	0.000	72.602
81.000	Rural	1995.000	12.140	0.800	190.840	191.640	45.160	53.830	2.400	0.000	31.740	34.140	0.000	60.005
81.000	Rural	2000.000	13.180	0.850	192.520	193.370	$null$	$null$	0.970	0.000	35.400	36.370	$null$	60.172
81.000	Rural	2005.000	13.417	0.680	152.820	153.500	$null$	$null$	2.330	0.000	18.350	20.680	$null$	49.528
81.000	Rural	2010.000	13.795	0.630	150.910	151.540	$null$	$null$	3.610	0.000	23.280	26.890	$null$	46.837
81.000	Rural	2015.000	12.937	0.050	121.130	121.180	18.230	$null$	6.300	0.000	23.860	30.160	$null$	34.089
83.000	Rural	1985.000	18.030	0.700	235.220	235.920	73.490	17.470	2.380	$null$	44.330	46.710	0.000	73.051
83.000	Rural	1990.000	18.670	0.670	312.170	312.840	73.680	71.890	2.430	$null$	45.110	47.540	0.000	101.822
83.000	Rural	1995.000	21.590	1.100	306.950	308.050	117.930	43.520	3.610	0.000	66.930	70.540	0.000	93.229
83.000	Rural	2000.000	23.830	1.050	420.330	421.380	$null$	$null$	20.470	0.000	35.860	56.330	$null$	138.240
83.000	Rural	2005.000	24.778	0.000	246.410	246.410	$null$	$null$	16.050	0.010	44.300	60.360	$null$	71.471
83.000	Rural	2010.000	25.535	0.000	245.420	245.420	$null$	$null$	17.790	0.010	53.450	71.250	$null$	67.738
83.000	Rural	2015.000	26.168	0.000	185.090	185.090	75.770	$null$	19.400	0.010	53.840	73.250	$null$	44.216
85.000	Rural	1985.000	25.570	4.000	660.070	664.070	145.140	53.650	1.450	$null$	78.580	80.030	0.000	225.247
85.000	Rural	1990.000	24.420	4.060	653.190	657.250	160.060	158.410	1.680	$null$	90.920	92.600	0.000	218.998
85.000	Rural	1995.000	28.830	3.680	631.310	634.990	170.600	215.690	1.740	0.000	93.960	95.700	0.000	209.664
85.000	Rural	2000.000	33.430	4.130	584.620	588.750	$null$	$null$	0.000	0.000	81.650	81.650	$null$	196.530
85.000	Rural	2005.000	37.482	0.000	672.340	672.340	$null$	$null$	0.600	0.000	96.290	96.890	$null$	223.259
85.000	Rural	2010.000	41.276	0.160	690.120	690.280	$null$	$null$	3.670	0.000	94.100	97.770	$null$	229.443
85.000	Rural	2015.000	40.946	0.000	671.640	671.640	105.410	$null$	6.590	0.000	90.890	97.480	$null$	222.158
87.000	Rural	1985.000	22.830	193.960	144.520	338.480	186.540	67.500	41.740	$null$	97.390	139.130	0.000	95.016
87.000	Rural	1990.000	21.940	174.860	121.490	296.350	173.370	56.130	43.720	$null$	102.040	145.760	0.000	75.538
87.000	Rural	1995.000	23.730	172.000	147.750	319.750	177.350	66.230	40.400	0.000	94.320	134.720	0.000	87.731
87.000	Rural	2000.000	27.170	104.280	173.340	277.620	$null$	$null$	87.980	0.000	78.640	166.620	$null$	52.186
87.000	Rural	2005.000	27.995	1.260	173.930	175.190	$null$	$null$	88.740	0.000	56.330	145.070	$null$	11.983
87.000	Rural	2010.000	28.159	12.730	152.490	165.220	$null$	$null$	95.170	0.000	42.030	137.200	$null$	10.657
87.000	Rural	2015.000	28.360	13.180	109.430	122.610	91.590	$null$	87.560	0.000	22.140	109.700	$null$	3.456
89.000	Frontier	1985.000	22.210	27.820	275.800	303.620	126.510	112.540	1.260	$null$	61.870	63.130	0.000	95.980
89.000	Frontier	1990.000	20.190	33.100	312.010	345.110	96.400	171.000	1.230	$null$	60.100	61.330	0.000	112.557
89.000	Frontier	1995.000	20.790	14.890	402.640	417.530	177.810	146.150	1.290	0.000	63.120	64.410	0.000	137.610
89.000	Frontier	2000.000	20.310	7.690	270.600	278.290	$null$	$null$	0.000	0.350	63.960	64.310	$null$	84.810
89.000	Frontier	2005.000	19.495	19.020	365.130	384.150	$null$	$null$	0.850	3.000	63.770	67.620	$null$	125.314
89.000	Frontier	2010.000	18.831	19.050	412.380	431.430	$null$	$null$	2.700	2.350	60.320	65.370	$null$	143.414
89.000	Frontier	2015.000	18.343	10.910	338.160	349.070	78.850	$null$	4.900	2.260	50.220	57.380	$null$	113.782
91.000	Frontier	1985.000	2.010	0.000	56.120	56.120	13.100	3.000	0.000	$null$	16.720	16.720	0.000	14.147
91.000	Frontier	1990.000	2.300	0.000	52.410	52.410	9.400	12.580	0.000	$null$	14.190	14.190	0.000	13.483
91.000	Frontier	1995.000	3.030	0.000	56.560	56.560	11.780	19.800	0.000	0.000	14.930	14.930	0.000	14.834
91.000	Frontier	2000.000	3.740	0.000	81.330	81.330	$null$	$null$	0.000	0.000	16.810	16.810	$null$	23.633
91.000	Frontier	2005.000	4.260	0.000	103.080	103.080	$null$	$null$	0.100	0.000	14.530	14.630	$null$	32.461
91.000	Frontier	2010.000	4.436	0.000	103.600	103.600	$null$	$null$	0.170	0.000	15.870	16.040	$null$	32.240
91.000	Frontier	2015.000	4.691	0.020	94.240	94.260	13.970	$null$	0.130	0.000	14.640	14.770	$null$	29.091
93.000	Frontier	1985.000	6.060	0.000	28.820	28.820	13.550	11.530	0.080	$null$	21.100	21.180	0.000	2.542
93.000	Frontier	1990.000	7.170	0.000	20.180	20.180	10.020	7.870	0.050	$null$	14.280	14.330	0.000	1.277
93.000	Frontier	1995.000	10.590	0.000	7.080	7.080	3.090	2.760	0.030	0.000	8.270	8.300	0.000	-1.910
93.000	Frontier	2000.000	14.520	0.000	26.300	26.300	$null$	$null$	0.000	0.000	16.250	16.250	$null$	3.034
93.000	Frontier	2005.000	16.949	0.000	19.430	19.430	$null$	$null$	0.000	0.000	3.030	3.030	$null$	4.285
93.000	Frontier	2010.000	16.206	0.000	22.160	22.160	$null$	$null$	0.000	0.000	5.830	5.830	$null$	4.501
93.000	Frontier	2015.000	16.510	0.000	33.640	33.640	0.220	$null$	0.000	0.000	0.890	0.890	$null$	10.269
95.000	Frontier	1985.000	4.530	90.690	1.070	91.760	72.940	4.960	46.790	$null$	24.110	70.900	0.000	13.452
95.000	Frontier	1990.000	4.190	99.820	0.960	100.780	91.350	4.120	56.180	$null$	28.950	85.130	0.000	12.360
95.000	Frontier	1995.000	4.310	83.410	0.740	84.150	76.300	3.440	49.750	0.000	25.630	75.380	0.000	8.403
95.000	Frontier	2000.000	4.480	127.480	1.720	129.200	$null$	$null$	72.030	0.000	9.130	81.160	$null$	24.553
95.000	Frontier	2005.000	4.586	81.960	0.110	82.070	$null$	$null$	63.380	0.000	3.480	66.860	$null$	8.471
95.000	Frontier	2010.000	4.442	57.330	0.060	57.390	$null$	$null$	64.460	0.000	2.230	66.690	$null$	-2.761
95.000	Frontier	2015.000	4.349	73.560	0.060	73.620	53.390	$null$	66.330	0.000	1.800	68.130	$null$	3.955
97.000	Rural	1985.000	12.140	0.000	62.090	62.090	11.810	14.340	0.500	$null$	16.220	16.720	0.000	16.344
97.000	Rural	1990.000	12.660	0.000	73.230	73.230	16.110	21.970	0.470	$null$	15.120	15.590	0.000	20.879
97.000	Rural	1995.000	13.590	0.000	39.480	39.480	6.910	11.840	0.420	0.000	13.360	13.780	0.200	8.678
97.000	Rural	2000.000	14.870	0.000	38.790	38.790	$null$	$null$	0.000	0.000	12.030	12.030	$null$	8.973
97.000	Rural	2005.000	14.914	0.000	130.930	130.930	$null$	$null$	0.220	0.000	13.290	13.510	$null$	43.281
97.000	Rural	2010.000	17.148	0.000	116.370	116.370	$null$	$null$	3.750	0.000	5.970	9.720	$null$	38.497
97.000	Rural	2015.000	17.787	0.000	117.310	117.310	11.710	$null$	4.330	0.000	6.820	11.150	$null$	38.371
99.000	Frontier	1985.000	14.140	117.820	327.680	445.500	191.520	141.080	17.210	$null$	96.540	113.750	0.000	139.779
99.000	Frontier	1990.000	13.350	114.000	215.000	329.000	171.000	158.000	14.300	$null$	80.810	95.110	0.000	101.282
99.000	Frontier	1995.000	13.590	139.700	538.190	677.890	305.960	205.600	18.880	0.000	105.890	124.770	0.000	225.709
99.000	Frontier	2000.000	14.480	87.450	332.470	419.920	$null$	$null$	12.210	0.100	97.430	109.740	$null$	129.597
99.000	Frontier	2005.000	13.892	27.470	360.270	387.740	$null$	$null$	1.440	0.160	99.850	101.450	$null$	116.576
99.000	Frontier	2010.000	12.551	39.230	104.570	143.800	$null$	$null$	45.530	0.420	100.990	146.940	$null$	7.374
99.000	Frontier	2015.000	11.954	32.290	78.100	110.390	104.000	$null$	40.750	0.050	70.800	111.600	$null$	4.947
101.000	Rural	1985.000	127.020	25.290	125.880	151.170	64.560	52.360	5.500	$null$	31.140	36.640	0.000	45.505
101.000	Rural	1990.000	123.050	38.010	63.210	101.220	54.010	23.100	5.620	$null$	31.820	37.440	0.000	27.369
101.000	Rural	1995.000	129.760	18.630	112.380	131.010	58.740	41.950	4.370	0.000	24.770	29.140	0.000	39.705
101.000	Rural	2000.000	141.470	7.030	122.780	129.810	$null$	$null$	1.780	0.050	31.400	33.230	$null$	37.494
101.000	Rural	2005.000	151.322	11.630	165.860	177.490	$null$	$null$	2.890	0.010	28.030	30.930	$null$	56.362
101.000	Rural	2010.000	159.063	14.660	139.770	154.430	$null$	$null$	7.200	0.210	25.600	33.010	$null$	46.864
101.000	Rural	2015.000	163.591	8.310	257.220	265.530	32.660	$null$	5.460	0.180	26.310	31.950	$null$	88.795
103.000	Frontier	1985.000	6.020	0.730	194.970	195.700	35.540	35.540	0.850	$null$	31.590	32.440	0.000	62.198
103.000	Frontier	1990.000	5.970	0.970	182.350	183.320	40.120	40.200	0.690	$null$	26.090	26.780	0.000	59.209
103.000	Frontier	1995.000	6.470	0.580	119.650	120.230	27.540	33.560	0.780	0.000	29.020	29.800	0.000	34.489
103.000	Frontier	2000.000	5.990	1.280	213.870	215.150	$null$	$null$	0.000	0.000	32.640	32.640	$null$	69.614
103.000	Frontier	2005.000	5.973	0.010	227.310	227.320	$null$	$null$	0.240	0.000	47.530	47.770	$null$	69.684
103.000	Frontier	2010.000	6.666	0.040	246.900	246.940	$null$	$null$	1.890	0.050	28.890	30.830	$null$	81.845
103.000	Frontier	2015.000	6.571	0.000	135.750	135.750	35.470	$null$	2.400	0.050	30.030	32.480	$null$	39.356
105.000	Frontier	1985.000	11.460	105.970	195.870	301.840	136.650	83.650	33.150	$null$	99.470	132.620	0.000	77.430
105.000	Frontier	1990.000	10.770	163.460	176.350	339.810	149.060	149.900	73.710	$null$	32.990	106.700	0.000	99.102
105.000	Frontier	1995.000	11.260	105.480	294.830	400.310	165.870	135.000	55.090	0.000	69.530	124.620	0.000	114.432
105.000	Frontier	2000.000	12.410	170.150	113.370	283.520	$null$	$null$	113.990	0.000	29.260	143.250	$null$	63.263
105.000	Frontier	2005.000	12.227	0.010	535.140	535.150	$null$	$null$	70.860	0.050	64.980	135.890	$null$	152.367
105.000	Frontier	2010.000	11.982	139.260	437.970	577.230	$null$	$null$	74.140	0.000	40.670	114.810	$null$	184.453
105.000	Frontier	2015.000	11.543	101.670	455.360	557.030	72.160	$null$	74.010	0.000	38.200	112.210	$null$	174.778
107.000	Rural	1985.000	14.670	0.870	161.660	162.530	29.300	30.590	0.310	$null$	44.510	44.820	0.000	46.155
107.000	Rural	1990.000	14.090	1.760	282.200	283.960	61.880	63.970	0.420	$null$	59.500	59.920	0.000	87.632
107.000	Rural	1995.000	16.710	1.700	292.590	294.290	64.770	82.850	0.420	0.000	59.490	59.910	0.000	91.528
107.000	Rural	2000.000	19.690	1.790	262.270	264.060	$null$	$null$	0.000	0.000	48.550	48.550	$null$	83.479
107.000	Rural	2005.000	21.313	0.020	189.050	189.070	$null$	$null$	1.640	0.000	41.070	42.710	$null$	56.569
107.000	Rural	2010.000	23.509	0.000	191.650	191.650	$null$	$null$	2.230	0.000	47.000	49.230	$null$	55.580
107.000	Rural	2015.000	24.130	0.020	171.610	171.630	47.600	$null$	2.740	0.000	49.600	52.340	$null$	47.067
109.000	Frontier	1985.000	3.950	155.130	297.220	452.350	189.540	103.290	39.150	$null$	114.360	153.510	0.000	131.167
109.000	Frontier	1990.000	4.620	189.580	265.440	455.020	275.040	80.890	69.430	$null$	126.420	195.850	0.000	119.086
109.000	Frontier	1995.000	5.510	144.450	278.250	422.700	173.420	124.100	47.620	0.000	70.010	117.630	0.000	128.669
109.000	Frontier	2000.000	5.920	357.110	289.050	646.160	$null$	$null$	0.000	0.000	209.890	209.890	$null$	207.419
109.000	Frontier	2005.000	7.031	227.400	150.300	377.700	$null$	$null$	71.440	0.000	51.260	122.700	$null$	113.801
109.000	Frontier	2010.000	6.108	155.800	113.670	269.470	$null$	$null$	71.440	0.000	53.430	124.870	$null$	66.958
109.000	Frontier	2015.000	6.251	110.540	255.760	366.300	84.050	$null$	68.560	0.000	70.080	138.640	$null$	96.407
111.000	Frontier	1985.000	0.790	0.000	0.000	0.000	0.000	0.000	0.000	$null$	0.000	0.000	0.000	-2.164
111.000	Frontier	1990.000	0.750	0.000	0.000	0.000	0.000	0.000	0.000	$null$	0.000	0.000	0.000	-2.164
111.000	Frontier	1995.000	0.550	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.164
111.000	Frontier	2000.000	0.560	0.000	0.000	0.000	$null$	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
111.000	Frontier	2005.000	0.577	0.000	0.000	0.000	$null$	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
111.000	Frontier	2010.000	0.699	0.000	0.000	0.000	$null$	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
111.000	Frontier	2015.000	0.701	0.000	0.000	0.000	0.000	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
113.000	Rural	1985.000	3.510	0.000	47.960	47.960	14.560	3.230	0.450	$null$	10.840	11.290	0.000	12.598
113.000	Rural	1990.000	3.650	0.000	30.630	30.630	15.860	8.280	0.500	$null$	11.970	12.470	0.000	5.711
113.000	Rural	1995.000	4.930	0.000	61.890	61.890	23.700	16.630	0.850	0.000	20.300	21.150	0.000	14.942
113.000	Rural	2000.000	6.590	0.000	9.090	9.090	$null$	$null$	0.000	0.000	1.860	1.860	$null$	0.724
113.000	Rural	2005.000	7.213	0.000	25.560	25.560	$null$	$null$	1.280	0.000	18.210	19.490	$null$	1.670
113.000	Rural	2010.000	7.359	0.000	36.790	36.790	$null$	$null$	1.260	0.000	19.440	20.700	$null$	5.557
113.000	Rural	2015.000	7.879	0.000	47.090	47.090	24.380	$null$	1.500	0.000	21.720	23.220	$null$	8.684
115.000	Frontier	1985.000	3.120	78.010	39.370	117.380	62.180	19.660	19.370	$null$	35.810	55.180	0.000	29.784
115.000	Frontier	1990.000	2.690	57.400	36.090	93.490	61.440	16.670	18.290	$null$	33.810	52.100	0.000	20.238
115.000	Frontier	1995.000	2.610	51.850	41.860	93.710	57.780	18.660	18.990	0.000	35.080	54.070	0.000	19.254
115.000	Frontier	2000.000	2.750	61.990	49.670	111.660	$null$	$null$	33.270	0.000	27.340	60.610	$null$	23.299
115.000	Frontier	2005.000	2.529	37.780	41.950	79.730	$null$	$null$	27.230	0.000	16.050	43.280	$null$	15.144
115.000	Frontier	2010.000	2.379	15.080	45.570	60.650	$null$	$null$	31.880	0.000	16.150	48.030	$null$	4.342
115.000	Frontier	2015.000	2.399	38.800	34.790	73.590	36.310	$null$	36.100	0.000	7.350	43.450	$null$	11.869
117.000	Rural	1985.000	13.670	0.000	27.870	27.870	4.670	6.800	0.000	$null$	6.630	6.630	0.000	6.423
117.000	Rural	1990.000	12.880	0.000	30.690	30.690	7.410	9.210	0.000	$null$	11.080	11.080	0.000	6.193
117.000	Rural	1995.000	17.200	0.000	23.480	23.480	4.490	7.040	0.000	0.000	5.100	5.100	0.000	5.211
117.000	Rural	2000.000	23.550	0.000	0.000	0.000	$null$	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
117.000	Rural	2005.000	24.892	0.170	59.260	59.430	$null$	$null$	0.380	0.000	5.850	6.230	$null$	18.417
117.000	Rural	2010.000	27.994	0.040	60.590	60.630	$null$	$null$	0.410	0.000	4.810	5.220	$null$	19.150
117.000	Rural	2015.000	30.257	0.020	50.100	50.120	6.530	$null$	0.790	0.000	5.030	5.820	$null$	14.967
119.000	Rural	1985.000	10.630	0.000	0.000	0.000	0.000	0.000	0.000	$null$	1.460	1.460	0.000	-2.589
119.000	Rural	1990.000	12.470	0.270	1.160	1.430	0.890	0.540	0.000	$null$	1.390	1.390	0.000	-2.009
119.000	Rural	1995.000	17.480	0.070	0.430	0.500	0.240	0.160	0.000	0.000	1.260	1.260	0.000	-2.337
119.000	Rural	2000.000	20.560	0.000	2.950	2.950	$null$	$null$	0.000	0.000	1.810	1.810	$null$	-1.578
119.000	Rural	2005.000	21.918	0.000	3.680	3.680	$null$	$null$	0.100	0.000	0.610	0.710	$null$	-0.993
119.000	Rural	2010.000	23.350	0.000	4.100	4.100	$null$	$null$	0.100	0.000	0.940	1.040	$null$	-0.931
119.000	Rural	2015.000	23.385	0.000	2.480	2.480	0.700	$null$	0.100	0.000	0.980	1.080	$null$	-1.554
121.000	Frontier	1985.000	5.350	44.850	3.070	47.920	35.610	3.470	30.310	$null$	10.100	40.410	0.000	4.166
121.000	Frontier	1990.000	4.810	44.560	2.750	47.310	38.140	2.710	30.680	$null$	10.230	40.910	0.000	3.727
121.000	Frontier	1995.000	4.690	41.670	2.580	44.250	35.580	2.580	27.500	0.000	9.160	36.660	0.000	3.945
121.000	Frontier	2000.000	4.930	57.920	5.650	63.570	$null$	$null$	46.310	0.000	7.790	54.100	$null$	5.293
121.000	Frontier	2005.000	4.633	43.910	6.090	50.000	$null$	$null$	35.360	0.000	7.170	42.530	$null$	3.702
121.000	Frontier	2010.000	4.814	57.130	13.530	70.660	$null$	$null$	39.550	0.000	6.980	46.530	$null$	10.861
121.000	Frontier	2015.000	4.864	40.740	5.440	46.180	24.050	$null$	33.110	0.000	4.880	37.990	$null$	3.593
123.000	Rural	1985.000	136.580	328.780	966.750	1295.530	648.530	403.140	42.510	$null$	385.880	428.390	1.500	382.031
