county_cd	County Type	year	Population	Total self-supplied groundwater withdrawals, in Mgal/d	Total self-supplied surface-water withdrawals, in Mgal/d	Total self-supplied withdrawals, in Mgal/d	Total consumptive use, fresh, in Mgal/d	Total conveyance loss, in Mgal/d	 Total sprinkler irrigation, in thousand acres	Total microirrigation, in thousand acres	Total surface irrigation, in thousand acres	Total irrigation, in thousand acres	Total reclaimed wastewater, in Mgal/d	$E-Total conveyance loss, in Mgal/d
13.000	Urban	2015.000	319.372	0.020	103.740	103.760	30.100	$null$	5.500	0.000	24.090	29.590	$null$	27.769
14.000	Urban	2005.000	43.478	0.000	2.000	2.000	$null$	$null$	0.310	0.000	2.720	3.030	$null$	-2.325
14.000	Urban	2010.000	55.889	0.000	1.390	1.390	$null$	$null$	0.490	0.000	1.100	1.590	$null$	-2.157
14.000	Urban	2015.000	65.065	0.000	1.380	1.380	0.620	$null$	0.430	0.000	0.410	0.840	$null$	-1.936
15.000	Rural	1985.000	12.270	0.000	55.920	55.920	23.470	22.370	0.920	$null$	17.410	18.330	0.000	13.502
15.000	Rural	1990.000	12.680	0.000	112.000	112.000	20.300	56.300	2.000	$null$	18.600	20.600	0.000	33.879
15.000	Rural	1995.000	14.410	0.000	51.560	51.560	21.850	18.560	1.500	0.000	13.460	14.960	0.000	12.772
15.000	Rural	2000.000	16.240	0.000	68.950	68.950	$null$	$null$	4.640	0.000	17.430	22.070	$null$	16.917
15.000	Rural	2005.000	16.968	0.020	99.310	99.330	$null$	$null$	3.900	0.000	15.420	19.320	$null$	29.262
15.000	Rural	2010.000	17.809	0.030	80.530	80.560	$null$	$null$	4.640	0.000	6.810	11.450	$null$	24.387
15.000	Rural	2015.000	18.658	0.010	115.230	115.240	12.380	$null$	4.440	0.000	10.810	15.250	$null$	36.387
17.000	Frontier	1985.000	2.470	17.680	5.250	22.930	17.920	3.030	11.390	$null$	6.140	17.530	0.000	1.452
17.000	Frontier	1990.000	2.400	25.010	0.000	25.010	22.510	2.490	13.890	$null$	7.460	21.350	0.000	1.399
17.000	Frontier	1995.000	2.310	21.240	4.060	25.300	21.580	1.510	11.960	0.000	6.440	18.400	0.000	2.297
17.000	Frontier	2000.000	2.230	29.080	3.180	32.260	$null$	$null$	23.370	0.000	2.320	25.690	$null$	2.124
17.000	Frontier	2005.000	1.953	23.960	0.290	24.250	$null$	$null$	23.270	0.000	2.180	25.450	$null$	-1.201
17.000	Frontier	2010.000	1.836	32.670	0.000	32.670	$null$	$null$	0.660	0.000	1.320	1.980	$null$	11.967
17.000	Frontier	2015.000	1.829	29.350	0.000	29.350	16.410	$null$	21.140	0.000	4.780	25.920	$null$	1.228
19.000	Rural	1985.000	7.730	0.000	0.000	0.000	0.000	0.000	0.000	$null$	0.000	0.000	0.000	-2.164
19.000	Rural	1990.000	7.620	0.000	0.000	0.000	0.000	0.000	0.000	$null$	0.000	0.000	0.000	-2.164
19.000	Rural	1995.000	8.740	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.164
19.000	Rural	2000.000	9.320	0.000	0.000	0.000	$null$	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
19.000	Rural	2005.000	9.197	0.000	0.000	0.000	$null$	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
19.000	Rural	2010.000	9.088	0.000	0.170	0.170	$null$	$null$	0.000	0.000	0.020	0.020	$null$	-2.106
19.000	Rural	2015.000	9.303	0.000	0.000	0.000	0.000	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
21.000	Frontier	1985.000	8.000	28.920	497.520	526.440	213.450	200.460	3.830	$null$	136.500	140.330	0.000	157.397
21.000	Frontier	1990.000	7.450	84.670	241.180	325.850	212.370	51.760	18.140	$null$	121.060	139.200	0.000	84.644
21.000	Frontier	1995.000	7.810	27.040	700.190	727.230	262.500	309.440	22.810	0.000	87.880	110.690	0.000	239.518
21.000	Frontier	2000.000	8.400	33.530	219.320	252.850	$null$	$null$	39.480	0.000	71.060	110.540	$null$	59.222
21.000	Frontier	2005.000	8.512	25.020	346.370	371.390	$null$	$null$	29.460	0.000	69.870	99.330	$null$	107.679
21.000	Frontier	2010.000	8.256	51.620	314.910	366.530	$null$	$null$	37.020	0.000	85.460	122.480	$null$	100.272
21.000	Frontier	2015.000	8.130	51.750	242.220	293.970	100.940	$null$	39.740	0.000	78.710	118.450	$null$	73.776
23.000	Frontier	1985.000	3.390	15.700	145.310	161.010	60.190	61.870	6.300	$null$	48.720	55.020	0.000	43.064
23.000	Frontier	1990.000	3.190	70.300	75.910	146.210	94.150	11.390	21.170	$null$	41.630	62.800	0.000	37.666
23.000	Frontier	1995.000	3.380	20.500	175.670	196.170	65.740	78.950	10.480	0.000	28.120	38.600	0.000	60.999
23.000	Frontier	2000.000	3.660	50.130	49.650	99.780	$null$	$null$	29.730	0.000	24.870	54.600	$null$	20.067
23.000	Frontier	2005.000	3.424	38.090	114.110	152.200	$null$	$null$	22.590	0.000	22.590	45.180	$null$	42.472
23.000	Frontier	2010.000	3.524	33.010	102.140	135.150	$null$	$null$	30.340	0.000	18.680	49.020	$null$	33.680
23.000	Frontier	2015.000	3.584	34.380	58.470	92.850	22.210	$null$	28.390	0.000	16.380	44.770	$null$	19.276
25.000	Frontier	1985.000	3.260	2.130	113.780	115.910	48.470	45.690	0.660	$null$	21.460	22.120	0.000	35.222
25.000	Frontier	1990.000	3.950	7.230	58.200	65.430	43.100	18.300	0.160	$null$	25.000	25.160	0.000	15.731
25.000	Frontier	1995.000	4.300	3.420	59.610	63.030	29.660	21.740	0.130	0.000	12.680	12.810	0.000	18.134
25.000	Frontier	2000.000	5.520	0.510	96.520	97.030	$null$	$null$	0.000	0.000	20.810	20.810	$null$	28.431
25.000	Frontier	2005.000	5.401	3.760	63.640	67.400	$null$	$null$	0.000	0.000	16.440	16.440	$null$	18.767
25.000	Frontier	2010.000	5.823	3.410	8.460	11.870	$null$	$null$	0.670	0.010	8.840	9.520	$null$	-0.269
25.000	Frontier	2015.000	5.562	3.410	8.460	11.870	4.020	$null$	0.650	0.020	6.490	7.160	$null$	0.422
27.000	Frontier	1985.000	2.130	0.000	33.090	33.090	13.860	13.240	0.630	$null$	16.240	16.870	0.000	5.345
27.000	Frontier	1990.000	1.930	0.280	25.100	25.380	18.500	6.880	0.640	$null$	22.510	23.150	0.000	0.630
27.000	Frontier	1995.000	2.700	0.290	40.820	41.110	19.150	14.720	0.500	0.000	16.130	16.630	0.000	8.477
27.000	Frontier	2000.000	3.500	0.000	48.850	48.850	$null$	$null$	0.000	0.000	18.300	18.300	$null$	10.945
27.000	Frontier	2005.000	3.860	0.090	43.170	43.260	$null$	$null$	0.060	0.000	24.790	24.850	$null$	6.932
27.000	Frontier	2010.000	4.255	0.110	26.640	26.750	$null$	$null$	0.250	0.000	23.270	23.520	$null$	1.070
27.000	Frontier	2015.000	4.445	0.050	34.730	34.780	23.780	$null$	0.260	0.000	25.320	25.580	$null$	3.495
29.000	Rural	1985.000	23.990	2.680	750.610	753.290	152.560	60.800	1.010	$null$	85.150	86.160	0.000	257.076
29.000	Rural	1990.000	20.980	2.140	659.310	661.450	144.440	158.340	0.830	$null$	68.940	69.770	0.000	227.171
29.000	Rural	1995.000	25.080	2.620	692.330	694.950	176.590	242.450	0.970	0.000	81.470	82.440	0.000	236.147
29.000	Rural	2000.000	27.830	2.490	669.680	672.170	$null$	$null$	0.000	0.000	72.200	72.200	$null$	230.628
29.000	Rural	2005.000	29.947	0.150	402.470	402.620	$null$	$null$	0.960	0.080	48.680	49.720	$null$	135.208
29.000	Rural	2010.000	30.952	0.220	345.950	346.170	$null$	$null$	2.410	0.080	80.420	82.910	$null$	104.105
29.000	Rural	2015.000	29.979	0.010	341.460	341.470	87.240	$null$	7.340	0.040	70.030	77.410	$null$	103.355
31.000	Urban	1985.000	510.910	0.000	0.000	0.000	0.000	0.000	0.000	$null$	0.000	0.000	0.000	-2.164
31.000	Urban	1990.000	467.610	0.000	0.000	0.000	0.000	0.000	0.000	$null$	0.000	0.000	0.000	-2.164
31.000	Urban	1995.000	494.460	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.164
31.000	Urban	2000.000	554.640	0.000	0.000	0.000	$null$	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
31.000	Urban	2005.000	557.917	0.290	1.150	1.440	$null$	$null$	1.180	0.000	0.000	1.180	$null$	-2.073
